"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7","microRNA 8","microRNA 9","microRNA 10","microRNA 11"
"ZNF207","0.0191","0.435","0.361","6","hsa-miR-1343-3p","hsa-miR-1233-5p","hsa-miR-4648","hsa-miR-1307-3p","hsa-miR-4419b","hsa-miR-6746-5p","","","","",""
"ADIRF","0.0203","0.438","0.113","2","hsa-miR-3184-5p","hsa-miR-6805-5p","","","","","","","","",""
"CTTN","0.0200","0.438","0.196","3","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","","","","","","","",""
"DSG3","0.0203","0.438","0.113","2","hsa-miR-1307-3p","hsa-miR-4532","","","","","","","","",""
"INVS","0.0203","0.438","0.113","2","hsa-miR-4648","hsa-miR-92b-5p","","","","","","","","",""
"MAP1S","0.0200","0.438","0.196","3","hsa-miR-1238-5p","hsa-miR-4481","hsa-miR-4675","","","","","","","",""
"SHANK3","0.0200","0.438","0.196","3","hsa-miR-125a-3p","hsa-miR-128-1-5p","hsa-miR-3184-5p","","","","","","","",""
"SS18L1","0.0203","0.438","0.113","2","hsa-miR-6131","hsa-miR-125a-3p","","","","","","","","",""
"TOMM40","0.0211","0.452","0.268","4","hsa-miR-6131","hsa-miR-8073","hsa-miR-663a","hsa-miR-6787-5p","","","","","","",""
"ZNF385A","0.0213","0.453","0.369","6","hsa-miR-3180","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-6805-5p","hsa-miR-4258","hsa-miR-1307-3p","","","","",""
"ZNF251","0.0216","0.457","0.202","3","hsa-miR-1233-5p","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","","","","","",""
"CDKN1A","0.0221","0.464","0.521","11","hsa-miR-7110-5p","hsa-miR-6802-5p","hsa-miR-663a","hsa-miR-1233-5p","hsa-miR-3180","hsa-miR-4419b","hsa-miR-4648","hsa-miR-5572","hsa-miR-6787-5p","hsa-miR-6805-5p","hsa-miR-4732-5p"
"MTSS1L","0.0222","0.464","0.273","4","hsa-miR-4787-5p","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-7110-5p","","","","","","",""
"CACNB2","0.0233","0.467","0.208","3","hsa-miR-125a-3p","hsa-miR-5572","hsa-miR-6857-5p","","","","","","","",""
"FAM19A3","0.0234","0.467","0.121","2","hsa-miR-1233-5p","hsa-miR-4648","","","","","","","","",""
"HIST1H3C","0.0234","0.467","0.121","2","hsa-miR-1238-5p","hsa-miR-4481","","","","","","","","",""
"KDM6B","0.0236","0.467","0.378","6","hsa-miR-4706","hsa-miR-4481","hsa-miR-6746-5p","hsa-miR-1203","hsa-miR-125a-3p","hsa-miR-92a-2-5p","","","","",""
"LHFPL3","0.0233","0.467","0.208","3","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","","","","","","","",""
"MFRP","0.0233","0.467","0.208","3","hsa-miR-92a-2-5p","hsa-miR-7110-5p","hsa-miR-4258","","","","","","","",""
"NFIX","0.0236","0.467","0.378","6","hsa-miR-92a-2-5p","hsa-miR-128-1-5p","hsa-miR-4706","hsa-miR-4734","hsa-miR-3184-5p","hsa-miR-6746-5p","","","","",""
"NPLOC4","0.0235","0.467","0.332","5","hsa-miR-1233-5p","hsa-miR-4481","hsa-miR-4648","hsa-miR-6857-5p","hsa-miR-92b-5p","","","","","",""
"TRIM28","0.0246","0.485","0.281","4","hsa-miR-6857-5p","hsa-miR-4481","hsa-miR-1233-5p","hsa-miR-4675","","","","","","",""
"ARRB2","0.0250","0.486","0.214","3","hsa-miR-3184-5p","hsa-miR-125a-3p","hsa-miR-6857-5p","","","","","","","",""
"IL21R","0.0250","0.486","0.214","3","hsa-miR-5572","hsa-miR-6857-5p","hsa-miR-128-1-5p","","","","","","","",""
"AP5Z1","0.0268","0.488","0.219","3","hsa-miR-128-1-5p","hsa-miR-6787-5p","hsa-miR-663a","","","","","","","",""
"CENPO","0.0268","0.488","0.219","3","hsa-miR-4787-5p","hsa-miR-663a","hsa-miR-6787-5p","","","","","","","",""
"GTPBP10","0.0259","0.488","0.286","4","hsa-miR-4787-3p","hsa-miR-6746-5p","hsa-miR-4419b","hsa-miR-4532","","","","","","",""
"MEIS3P1","0.0268","0.488","0.219","3","hsa-miR-3940-5p","hsa-miR-1238-5p","hsa-miR-4481","","","","","","","",""
"MPPED1","0.0267","0.488","0.130","2","hsa-miR-1343-3p","hsa-miR-6131","","","","","","","","",""
"MRPS18A","0.0267","0.488","0.130","2","hsa-miR-1238-5p","hsa-miR-4481","","","","","","","","",""
