"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7","microRNA 8","microRNA 9"
"ALG1","0.369","0.700","0.641","2","hsa-miR-5698","hsa-miR-504-3p","","","","","","",""
"AMFR","0.366","0.700","0.450","1","hsa-miR-4769-5p","","","","","","","",""
"AMPD3","0.377","0.700","0.467","1","hsa-miR-4472","","","","","","","",""
"ANKRD40","0.350","0.700","0.615","2","hsa-miR-6780a-5p","hsa-miR-940","","","","","","",""
"ANP32A","0.283","0.700","0.329","1","hsa-miR-940","","","","","","","",""
"AP2M1","0.337","0.700","0.597","2","hsa-miR-4472","hsa-miR-5698","","","","","","",""
"AP3B2","0.332","0.700","0.398","1","hsa-miR-3652","","","","","","","",""
"APBA1","0.320","0.700","0.381","1","hsa-miR-1470","","","","","","","",""
"APBB2","0.344","0.700","0.416","1","hsa-miR-1224-5p","","","","","","","",""
"APOBEC3F","0.324","0.700","0.580","2","hsa-miR-6780a-5p","hsa-miR-1227-3p","","","","","","",""
"APOL4","0.296","0.700","0.346","1","hsa-miR-5572","","","","","","","",""
"AQR","0.324","0.700","0.580","2","hsa-miR-6780a-5p","hsa-miR-941","","","","","","",""
"ARCN1","0.344","0.700","0.416","1","hsa-miR-1185-2-3p","","","","","","","",""
"ARID1B","0.366","0.700","0.450","1","hsa-miR-1185-2-3p","","","","","","","",""
"ARL4C","0.350","0.700","0.615","2","hsa-miR-4472","hsa-miR-7110-5p","","","","","","",""
"ARL5C","0.343","0.700","0.606","2","hsa-miR-17-3p","hsa-miR-6780a-5p","","","","","","",""
"ARSD","0.355","0.700","0.433","1","hsa-miR-940","","","","","","","",""
"ART4","0.344","0.700","0.416","1","hsa-miR-6076","","","","","","","",""
"ATF6","0.332","0.700","0.398","1","hsa-miR-6780a-5p","","","","","","","",""
"ATG12","0.279","0.700","0.519","2","hsa-miR-17-3p","hsa-miR-1227-3p","","","","","","",""
"ATL3","0.356","0.700","0.623","2","hsa-miR-6780a-5p","hsa-miR-5698","","","","","","",""
"ATP5B","0.308","0.700","0.364","1","hsa-miR-320b","","","","","","","",""
"B4GALT7","0.279","0.700","0.519","2","hsa-miR-940","hsa-miR-495-5p","","","","","","",""
"BAK1","0.337","0.700","0.597","2","hsa-miR-6780a-5p","hsa-miR-1227-3p","","","","","","",""
"BCL2L1","0.275","0.700","0.667","4","hsa-miR-4313","hsa-miR-3652","hsa-miR-6780a-5p","hsa-miR-7110-5p","","","","",""
"BCL2L2-PABPN1","0.324","0.700","0.580","2","hsa-miR-6730-5p","hsa-miR-940","","","","","","",""
"BMP3","0.343","0.700","0.606","2","hsa-miR-6877-5p","hsa-miR-6780a-5p","","","","","","",""
"BRWD1","0.324","0.700","0.580","2","hsa-miR-5100","hsa-miR-31-3p","","","","","","",""
"BTBD1","0.308","0.700","0.364","1","hsa-miR-1202","","","","","","","",""
"BTNL3","0.344","0.700","0.416","1","hsa-miR-6780a-5p","","","","","","","",""
"BVES","0.318","0.700","0.571","2","hsa-miR-6780a-5p","hsa-miR-940","","","","","","",""
"C10orf67","0.296","0.700","0.346","1","hsa-miR-3652","","","","","","","",""
"C10orf71","0.366","0.700","0.450","1","hsa-miR-940","","","","","","","",""
"C1orf106","0.283","0.700","0.329","1","hsa-miR-6730-5p","","","","","","","",""
"C1orf147","0.377","0.700","0.467","1","hsa-miR-1185-2-3p","","","","","","","",""
"C1orf43","0.296","0.700","0.346","1","hsa-miR-1185-2-3p","","","","","","","",""
"C21orf62","0.320","0.700","0.381","1","hsa-miR-4685-3p","","","","","","","",""
"C3orf33","0.377","0.700","0.467","1","hsa-miR-940","","","","","","","",""
"C5orf51","0.335","0.700","0.681","3","hsa-miR-4472","hsa-miR-320d","hsa-miR-320b","","","","","",""
"C8orf4","0.344","0.700","0.416","1","hsa-miR-1290","","","","","","","",""
"CACNA1B","0.344","0.700","0.416","1","hsa-miR-1224-5p","","","","","","","",""
"CAMKK2","0.366","0.700","0.450","1","hsa-miR-5100","","","","","","","",""
"CAMLG","0.350","0.700","0.615","2","hsa-miR-6780a-5p","hsa-miR-940","","","","","","",""
"CAPZA2","0.297","0.700","0.635","3","hsa-miR-1185-2-3p","hsa-miR-646","hsa-miR-4483","","","","","",""
"CASD1","0.308","0.700","0.364","1","hsa-miR-1185-2-3p","","","","","","","",""
"CASKIN2","0.355","0.700","0.433","1","hsa-miR-4483","","","","","","","",""
"CBX6","0.303","0.700","0.697","4","hsa-miR-342-5p","hsa-miR-5698","hsa-miR-6819-5p","hsa-miR-6877-5p","","","","",""
"CBX8","0.311","0.700","0.563","2","hsa-miR-3652","hsa-miR-7110-5p","","","","","","",""
"CBY3","0.362","0.700","0.632","2","hsa-miR-940","hsa-miR-6780a-5p","","","","","","",""
"CCBE1","0.305","0.700","0.554","2","hsa-miR-4443","hsa-miR-646","","","","","","",""
"CCDC120","0.296","0.700","0.346","1","hsa-miR-940","","","","","","","",""
"CCDC141","0.296","0.700","0.346","1","hsa-miR-6776-5p","","","","","","","",""
"CCDC43","0.355","0.700","0.433","1","hsa-miR-4685-3p","","","","","","","",""
"CCDC50","0.344","0.700","0.416","1","hsa-miR-5698","","","","","","","",""
"CCDC83","0.320","0.700","0.381","1","hsa-miR-646","","","","","","","",""
"CCL22","0.350","0.700","0.615","2","hsa-miR-5698","hsa-miR-6780a-5p","","","","","","",""
"CCP110","0.332","0.700","0.398","1","hsa-miR-6805-3p","","","","","","","",""
"CD200","0.332","0.700","0.398","1","hsa-miR-6805-3p","","","","","","","",""
"CD3E","0.296","0.700","0.346","1","hsa-miR-3652","","","","","","","",""
"CD3G","0.308","0.700","0.364","1","hsa-miR-1227-3p","","","","","","","",""
"CDC42EP4","0.292","0.700","0.537","2","hsa-miR-941","hsa-miR-6780a-5p","","","","","","",""
"CDC42SE2","0.308","0.700","0.364","1","hsa-miR-646","","","","","","","",""
"CDCP1","0.355","0.700","0.704","3","hsa-miR-1227-3p","hsa-miR-6780a-5p","hsa-miR-940","","","","","",""
"CDK12","0.355","0.700","0.433","1","hsa-miR-4443","","","","","","","",""
"CDK17","0.366","0.700","0.450","1","hsa-miR-646","","","","","","","",""
"CDK19","0.279","0.700","0.519","2","hsa-miR-504-3p","hsa-miR-940","","","","","","",""
"CDKAL1","0.369","0.700","0.641","2","hsa-miR-6780a-5p","hsa-miR-940","","","","","","",""
"CENPN","0.375","0.700","0.649","2","hsa-miR-940","hsa-miR-1470","","","","","","",""
"CEP19","0.377","0.700","0.467","1","hsa-miR-941","","","","","","","",""
"CEP97","0.345","0.700","0.693","3","hsa-miR-6780a-5p","hsa-miR-4483","hsa-miR-6776-5p","","","","","",""
"CERS2","0.362","0.700","0.632","2","hsa-miR-6776-5p","hsa-miR-5100","","","","","","",""
"CES3","0.377","0.700","0.467","1","hsa-miR-6780a-5p","","","","","","","",""
"CGNL1","0.285","0.700","0.528","2","hsa-miR-6780a-5p","hsa-miR-940","","","","","","",""
"CHORDC1","0.356","0.700","0.623","2","hsa-miR-6780a-5p","hsa-miR-940","","","","","","",""
"CITED4","0.366","0.700","0.450","1","hsa-miR-5698","","","","","","","",""
"CLCN5","0.308","0.700","0.364","1","hsa-miR-940","","","","","","","",""
"CLIP2","0.283","0.700","0.329","1","hsa-miR-5698","","","","","","","",""
"CLSTN1","0.292","0.700","0.537","2","hsa-miR-941","hsa-miR-6780a-5p","","","","","","",""
"COLCA1","0.355","0.700","0.433","1","hsa-miR-5100","","","","","","","",""
"COPB2","0.296","0.700","0.346","1","hsa-miR-1185-2-3p","","","","","","","",""
"CREB3L2","0.343","0.700","0.606","2","hsa-miR-4472","hsa-miR-5698","","","","","","",""
"CRTC1","0.366","0.700","0.450","1","hsa-miR-1470","","","","","","","",""
"CSDC2","0.296","0.700","0.346","1","hsa-miR-4443","","","","","","","",""
"CSNK1E","0.331","0.700","0.589","2","hsa-miR-4483","hsa-miR-646","","","","","","",""
"CSNK1G2","0.344","0.700","0.416","1","hsa-miR-4443","","","","","","","",""
"CTBP1","0.355","0.700","0.433","1","hsa-miR-940","","","","","","","",""
"CTNND1","0.292","0.700","0.537","2","hsa-miR-1202","hsa-miR-6780a-5p","","","","","","",""
"CTSB","0.366","0.700","0.450","1","hsa-miR-944","","","","","","","",""
"CXCL16","0.355","0.700","0.433","1","hsa-miR-7110-5p","","","","","","","",""
"CYBB","0.355","0.700","0.433","1","hsa-miR-4685-3p","","","","","","","",""
"CYP26B1","0.308","0.700","0.364","1","hsa-miR-646","","","","","","","",""
"CYSLTR2","0.320","0.700","0.381","1","hsa-miR-4685-3p","","","","","","","",""
"DAND5","0.296","0.700","0.346","1","hsa-miR-6776-5p","","","","","","","",""
"DCC","0.366","0.700","0.450","1","hsa-miR-17-3p","","","","","","","",""
"DCK","0.344","0.700","0.416","1","hsa-miR-31-3p","","","","","","","",""
"DDX6","0.326","0.700","0.669","3","hsa-miR-4472","hsa-miR-5698","hsa-miR-646","","","","","",""
"DECR1","0.320","0.700","0.381","1","hsa-miR-646","","","","","","","",""
"DGCR8","0.283","0.700","0.329","1","hsa-miR-4472","","","","","","","",""
"DHDDS","0.366","0.700","0.450","1","hsa-miR-6780a-5p","","","","","","","",""
"DHODH","0.340","0.700","0.687","3","hsa-miR-6776-5p","hsa-miR-940","hsa-miR-6780a-5p","","","","","",""
"DHX33","0.331","0.700","0.589","2","hsa-miR-646","hsa-miR-6776-5p","","","","","","",""
"DIRAS2","0.320","0.700","0.381","1","hsa-miR-5698","","","","","","","",""
"DLG5","0.331","0.700","0.589","2","hsa-miR-185-3p","hsa-miR-940","","","","","","",""
"DMTF1","0.320","0.700","0.381","1","hsa-miR-646","","","","","","","",""
"DPPA4","0.296","0.700","0.346","1","hsa-miR-6776-5p","","","","","","","",""
"DUSP28","0.279","0.700","0.519","2","hsa-miR-6780a-5p","hsa-miR-4685-3p","","","","","","",""
"DUSP6","0.344","0.700","0.416","1","hsa-miR-1185-2-3p","","","","","","","",""
"DYNLT1","0.296","0.700","0.346","1","hsa-miR-5100","","","","","","","",""
"ECHDC1","0.355","0.700","0.433","1","hsa-miR-5100","","","","","","","",""
"EFNA1","0.292","0.700","0.537","2","hsa-miR-504-3p","hsa-miR-940","","","","","","",""
"EGF","0.332","0.700","0.398","1","hsa-miR-940","","","","","","","",""
"EIF1AX","0.321","0.700","0.664","3","hsa-miR-6076","hsa-miR-17-3p","hsa-miR-1224-5p","","","","","",""
"EIF3L","0.344","0.700","0.416","1","hsa-miR-940","","","","","","","",""
"ELF3","0.283","0.700","0.329","1","hsa-miR-1224-5p","","","","","","","",""
"ELOA","0.355","0.700","0.433","1","hsa-miR-320b","","","","","","","",""
"ELP3","0.332","0.700","0.398","1","hsa-miR-342-5p","","","","","","","",""
"EMID1","0.308","0.700","0.364","1","hsa-miR-5698","","","","","","","",""
"ENO4","0.320","0.700","0.381","1","hsa-miR-4754","","","","","","","",""
"EPB42","0.344","0.700","0.416","1","hsa-miR-6805-3p","","","","","","","",""
"EXPH5","0.332","0.700","0.398","1","hsa-miR-6776-5p","","","","","","","",""
"FAAH","0.366","0.700","0.450","1","hsa-miR-6730-5p","","","","","","","",""
"FADS1","0.331","0.700","0.589","2","hsa-miR-1470","hsa-miR-6805-3p","","","","","","",""
"FAM110A","0.355","0.700","0.433","1","hsa-miR-4685-3p","","","","","","","",""
"FAM131B","0.355","0.700","0.433","1","hsa-miR-940","","","","","","","",""
"FAM167B","0.296","0.700","0.346","1","hsa-miR-4685-3p","","","","","","","",""
"FAM229B","0.362","0.700","0.632","2","hsa-miR-646","hsa-miR-1227-3p","","","","","","",""
"FAM3C","0.362","0.700","0.632","2","hsa-miR-1227-3p","hsa-miR-3181","","","","","","",""
"FAM83F","0.355","0.700","0.704","3","hsa-miR-6776-5p","hsa-miR-6741-5p","hsa-miR-4483","","","","","",""
"FASTK","0.344","0.700","0.416","1","hsa-miR-4472","","","","","","","",""
"FBXL20","0.356","0.700","0.623","2","hsa-miR-6805-3p","hsa-miR-17-3p","","","","","","",""
"FBXO2","0.332","0.700","0.398","1","hsa-miR-4685-3p","","","","","","","",""
"FBXO48","0.292","0.700","0.537","2","hsa-miR-4313","hsa-miR-6780a-5p","","","","","","",""
"FCRL2","0.296","0.700","0.346","1","hsa-miR-6776-5p","","","","","","","",""
"FCRL4","0.377","0.700","0.467","1","hsa-miR-4685-3p","","","","","","","",""
"FERMT2","0.332","0.700","0.398","1","hsa-miR-940","","","","","","","",""
"FFAR2","0.308","0.700","0.364","1","hsa-miR-6805-3p","","","","","","","",""
"FOXE1","0.377","0.700","0.467","1","hsa-miR-1470","","","","","","","",""
"FTH1","0.332","0.700","0.398","1","hsa-miR-941","","","","","","","",""
"FURIN","0.343","0.700","0.606","2","hsa-miR-6076","hsa-miR-6780a-5p","","","","","","",""
"FUT10","0.324","0.700","0.580","2","hsa-miR-6730-5p","hsa-miR-4456","","","","","","",""
"FUT11","0.277","0.700","0.612","3","hsa-miR-1290","hsa-miR-504-3p","hsa-miR-3652","","","","","",""
"FXN","0.301","0.700","0.641","3","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-940","","","","","",""
"FZR1","0.279","0.700","0.519","2","hsa-miR-940","hsa-miR-4483","","","","","","",""
"G6PD","0.366","0.700","0.450","1","hsa-miR-504-3p","","","","","","","",""
"GABPB2","0.377","0.700","0.467","1","hsa-miR-6776-5p","","","","","","","",""
"GABRB1","0.350","0.700","0.615","2","hsa-miR-31-3p","hsa-miR-940","","","","","","",""
"GABRG2","0.332","0.700","0.398","1","hsa-miR-1470","","","","","","","",""
"GABRR2","0.332","0.700","0.398","1","hsa-miR-940","","","","","","","",""
"GCC1","0.355","0.700","0.433","1","hsa-miR-17-3p","","","","","","","",""
"GCNT4","0.355","0.700","0.433","1","hsa-miR-6780a-5p","","","","","","","",""
"GFER","0.366","0.700","0.450","1","hsa-miR-4472","","","","","","","",""
"GINM1","0.311","0.700","0.652","3","hsa-miR-5698","hsa-miR-6780a-5p","hsa-miR-940","","","","","",""
"GLB1L3","0.366","0.700","0.450","1","hsa-miR-1227-3p","","","","","","","",""
"GNB2","0.355","0.700","0.433","1","hsa-miR-4472","","","","","","","",""
"GNB4","0.377","0.700","0.467","1","hsa-miR-5698","","","","","","","",""
"GNL3","0.355","0.700","0.433","1","hsa-miR-495-5p","","","","","","","",""
"GNS","0.305","0.700","0.554","2","hsa-miR-495-5p","hsa-miR-940","","","","","","",""
"GPBP1","0.311","0.700","0.563","2","hsa-miR-6780a-5p","hsa-miR-646","","","","","","",""
"GPR45","0.377","0.700","0.467","1","hsa-miR-4685-3p","","","","","","","",""
"GRAMD4","0.332","0.700","0.398","1","hsa-miR-944","","","","","","","",""
"GRIK2","0.344","0.700","0.416","1","hsa-miR-7110-5p","","","","","","","",""
"GSE1","0.296","0.700","0.346","1","hsa-miR-4313","","","","","","","",""
"GSTM3","0.296","0.700","0.346","1","hsa-miR-5698","","","","","","","",""
"GTDC1","0.298","0.700","0.545","2","hsa-miR-4685-3p","hsa-miR-1470","","","","","","",""
"GXYLT2","0.359","0.700","0.710","3","hsa-miR-4472","hsa-miR-7110-5p","hsa-miR-940","","","","","",""
"HACD2","0.337","0.700","0.597","2","hsa-miR-5698","hsa-miR-940","","","","","","",""
"HARS","0.344","0.700","0.416","1","hsa-miR-4685-3p","","","","","","","",""
"HBEGF","0.377","0.700","0.467","1","hsa-miR-6805-3p","","","","","","","",""
"HBP1","0.337","0.700","0.597","2","hsa-miR-17-3p","hsa-miR-4443","","","","","","",""
"HCN2","0.332","0.700","0.398","1","hsa-miR-4313","","","","","","","",""
"HDDC2","0.377","0.700","0.467","1","hsa-miR-504-3p","","","","","","","",""
"HEXIM1","0.320","0.700","0.381","1","hsa-miR-17-3p","","","","","","","",""
"HINT1","0.285","0.700","0.528","2","hsa-miR-944","hsa-miR-6780a-5p","","","","","","",""
"HIRIP3","0.344","0.700","0.416","1","hsa-miR-4443","","","","","","","",""
"HIST1H2AD","0.308","0.700","0.364","1","hsa-miR-4483","","","","","","","",""
"HIST1H2AG","0.311","0.700","0.563","2","hsa-miR-4483","hsa-miR-940","","","","","","",""
"HIST1H4C","0.283","0.700","0.329","1","hsa-miR-1224-5p","","","","","","","",""
"HLX","0.296","0.700","0.346","1","hsa-miR-5572","","","","","","","",""
"HNRNPA0","0.297","0.700","0.635","3","hsa-miR-4472","hsa-miR-6877-5p","hsa-miR-6805-3p","","","","","",""
"HNRNPU","0.340","0.700","0.687","3","hsa-miR-5100","hsa-miR-1185-2-3p","hsa-miR-4769-5p","","","","","",""
"HOXB6","0.375","0.700","0.649","2","hsa-miR-5572","hsa-miR-7110-5p","","","","","","",""
"HRK","0.318","0.700","0.571","2","hsa-miR-4685-3p","hsa-miR-1470","","","","","","",""
"HSD17B12","0.374","0.700","0.727","3","hsa-miR-5698","hsa-miR-6780a-5p","hsa-miR-1227-3p","","","","","",""
"HSD3B7","0.344","0.700","0.416","1","hsa-miR-940","","","","","","","",""
"HSPG2","0.355","0.700","0.433","1","hsa-miR-5698","","","","","","","",""
"IFNAR2","0.292","0.700","0.629","3","hsa-miR-6730-5p","hsa-miR-940","hsa-miR-504-3p","","","","","",""
"IHH","0.320","0.700","0.381","1","hsa-miR-1224-5p","","","","","","","",""
"IL2RB","0.308","0.700","0.364","1","hsa-miR-7110-5p","","","","","","","",""
"IL7R","0.320","0.700","0.381","1","hsa-miR-3652","","","","","","","",""
"ING5","0.366","0.700","0.450","1","hsa-miR-4443","","","","","","","",""
"IQCE","0.296","0.700","0.346","1","hsa-miR-4685-3p","","","","","","","",""
"IRF2BPL","0.332","0.700","0.398","1","hsa-miR-940","","","","","","","",""
"IRF4","0.355","0.700","0.433","1","hsa-miR-4313","","","","","","","",""
"ISY1-RAB43","0.366","0.700","0.450","1","hsa-miR-504-3p","","","","","","","",""
"ITGA5","0.377","0.700","0.467","1","hsa-miR-17-3p","","","","","","","",""
"KANK1","0.296","0.700","0.346","1","hsa-miR-646","","","","","","","",""
"KANSL3","0.366","0.700","0.450","1","hsa-miR-4754","","","","","","","",""
"KBTBD11","0.308","0.700","0.364","1","hsa-miR-1202","","","","","","","",""
"KCNA5","0.320","0.700","0.381","1","hsa-miR-6730-5p","","","","","","","",""
"KCNQ3","0.283","0.700","0.329","1","hsa-miR-4685-3p","","","","","","","",""
"KDELR1","0.364","0.700","0.716","3","hsa-miR-17-3p","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"KIAA0100","0.355","0.700","0.433","1","hsa-miR-504-3p","","","","","","","",""
"KIAA1109","0.296","0.700","0.346","1","hsa-miR-944","","","","","","","",""
"KIAA1644","0.366","0.700","0.450","1","hsa-miR-504-3p","","","","","","","",""
"KIAA1958","0.285","0.700","0.528","2","hsa-miR-1470","hsa-miR-1202","","","","","","",""
"KLF2","0.282","0.700","0.618","3","hsa-miR-940","hsa-miR-1227-3p","hsa-miR-495-5p","","","","","",""
"KLHL23","0.318","0.700","0.571","2","hsa-miR-4443","hsa-miR-940","","","","","","",""
"KLHL26","0.279","0.700","0.519","2","hsa-miR-6780a-5p","hsa-miR-940","","","","","","",""
"KLLN","0.324","0.700","0.580","2","hsa-miR-940","hsa-miR-6780a-5p","","","","","","",""
"KMT2C","0.308","0.700","0.364","1","hsa-miR-940","","","","","","","",""
"KYAT3","0.283","0.700","0.329","1","hsa-miR-6793-5p","","","","","","","",""
"LAD1","0.296","0.700","0.346","1","hsa-miR-4769-5p","","","","","","","",""
"LAX1","0.340","0.700","0.687","3","hsa-miR-6780a-5p","hsa-miR-940","hsa-miR-6776-5p","","","","","",""
"LDOC1","0.283","0.700","0.329","1","hsa-miR-5698","","","","","","","",""
"LENG9","0.344","0.700","0.416","1","hsa-miR-1470","","","","","","","",""
"LGALS3BP","0.292","0.700","0.537","2","hsa-miR-17-3p","hsa-miR-4456","","","","","","",""
"LHX5","0.308","0.700","0.364","1","hsa-miR-4685-3p","","","","","","","",""
"LIPC","0.369","0.700","0.641","2","hsa-miR-4685-3p","hsa-miR-940","","","","","","",""
"LIPH","0.377","0.700","0.467","1","hsa-miR-1227-3p","","","","","","","",""
"LLGL1","0.343","0.700","0.606","2","hsa-miR-6780a-5p","hsa-miR-4483","","","","","","",""
"LONRF2","0.343","0.700","0.606","2","hsa-miR-6780a-5p","hsa-miR-4769-5p","","","","","","",""
"LOXL2","0.366","0.700","0.450","1","hsa-miR-6793-5p","","","","","","","",""
"LRRC20","0.279","0.700","0.519","2","hsa-miR-6780a-5p","hsa-miR-1224-5p","","","","","","",""
"LSAMP","0.375","0.700","0.649","2","hsa-miR-1470","hsa-miR-4685-3p","","","","","","",""
"LURAP1L","0.320","0.700","0.381","1","hsa-miR-646","","","","","","","",""
"LY6E","0.366","0.700","0.450","1","hsa-miR-7110-5p","","","","","","","",""
"LZTR1","0.296","0.700","0.346","1","hsa-miR-4685-3p","","","","","","","",""
"MACC1","0.287","0.700","0.623","3","hsa-miR-1470","hsa-miR-6076","hsa-miR-944","","","","","",""
"MACROD2","0.320","0.700","0.381","1","hsa-miR-1470","","","","","","","",""
"MAFK","0.311","0.700","0.652","3","hsa-miR-504-3p","hsa-miR-4483","hsa-miR-6776-5p","","","","","",""
"MALL","0.332","0.700","0.398","1","hsa-miR-17-3p","","","","","","","",""
"MAOB","0.332","0.700","0.398","1","hsa-miR-1290","","","","","","","",""
"MAPK8IP2","0.320","0.700","0.381","1","hsa-miR-4472","","","","","","","",""
"MAPKAPK5","0.376","0.700","0.775","4","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6805-3p","hsa-miR-6780a-5p","","","","",""
"MAPT","0.332","0.700","0.398","1","hsa-miR-6741-5p","","","","","","","",""
"MARK2","0.331","0.700","0.589","2","hsa-miR-4489","hsa-miR-17-3p","","","","","","",""
"MASTL","0.337","0.700","0.597","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"MAZ","0.355","0.700","0.704","3","hsa-miR-6780a-5p","hsa-miR-1470","hsa-miR-4472","","","","","",""
"MCMBP","0.377","0.700","0.467","1","hsa-miR-342-5p","","","","","","","",""
"MCMDC2","0.296","0.700","0.346","1","hsa-miR-6076","","","","","","","",""
"MED18","0.305","0.700","0.554","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"METTL1","0.377","0.700","0.467","1","hsa-miR-1470","","","","","","","",""
"METTL21A","0.292","0.700","0.537","2","hsa-miR-1470","hsa-miR-4769-5p","","","","","","",""
"METTL2B","0.375","0.700","0.649","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"METTL6","0.344","0.700","0.416","1","hsa-miR-5698","","","","","","","",""
"MIDN","0.325","0.700","0.755","5","hsa-miR-4472","hsa-miR-6730-5p","hsa-miR-6793-5p","hsa-miR-7110-5p","hsa-miR-940","","","",""
"MKKS","0.344","0.700","0.416","1","hsa-miR-4685-3p","","","","","","","",""
"MMACHC","0.308","0.700","0.364","1","hsa-miR-342-5p","","","","","","","",""
"MMS22L","0.305","0.700","0.554","2","hsa-miR-1227-3p","hsa-miR-940","","","","","","",""
"MNT","0.282","0.700","0.618","3","hsa-miR-4483","hsa-miR-6776-5p","hsa-miR-5698","","","","","",""
"MOB3B","0.296","0.700","0.346","1","hsa-miR-1227-3p","","","","","","","",""
"MOCOS","0.320","0.700","0.381","1","hsa-miR-6805-3p","","","","","","","",""
"MRNIP","0.364","0.700","0.716","3","hsa-miR-6780a-5p","hsa-miR-940","hsa-miR-4472","","","","","",""
"MRPL18","0.308","0.700","0.364","1","hsa-miR-944","","","","","","","",""
"MRPL35","0.355","0.700","0.433","1","hsa-miR-1185-2-3p","","","","","","","",""
"MRPL52","0.377","0.700","0.467","1","hsa-miR-504-3p","","","","","","","",""
"MRPS17","0.320","0.700","0.381","1","hsa-miR-6776-5p","","","","","","","",""
"MRS2","0.355","0.700","0.433","1","hsa-miR-17-3p","","","","","","","",""
"MSL2","0.292","0.700","0.537","2","hsa-miR-6780a-5p","hsa-miR-940","","","","","","",""
"MTHFSD","0.332","0.700","0.398","1","hsa-miR-185-3p","","","","","","","",""
"MTSS1L","0.298","0.700","0.545","2","hsa-miR-4483","hsa-miR-7110-5p","","","","","","",""
"MYC","0.355","0.700","0.704","3","hsa-miR-320b","hsa-miR-940","hsa-miR-516a-5p","","","","","",""
"MYH15","0.308","0.700","0.364","1","hsa-miR-6776-5p","","","","","","","",""
"MYO18A","0.350","0.700","0.615","2","hsa-miR-6780a-5p","hsa-miR-940","","","","","","",""
"NAP1L4","0.308","0.700","0.364","1","hsa-miR-3652","","","","","","","",""
"NARS","0.375","0.700","0.649","2","hsa-miR-3652","hsa-miR-504-3p","","","","","","",""
"NASP","0.366","0.700","0.450","1","hsa-miR-504-3p","","","","","","","",""
"NCKAP5L","0.320","0.700","0.381","1","hsa-miR-185-3p","","","","","","","",""
"NDST3","0.308","0.700","0.364","1","hsa-miR-941","","","","","","","",""
"NDUFA2","0.283","0.700","0.329","1","hsa-miR-1224-5p","","","","","","","",""
"NDUFA7","0.343","0.700","0.606","2","hsa-miR-6780a-5p","hsa-miR-940","","","","","","",""
"NDUFB5","0.343","0.700","0.606","2","hsa-miR-6776-5p","hsa-miR-6805-3p","","","","","","",""
"NDUFC2-KCTD14","0.320","0.700","0.381","1","hsa-miR-1227-3p","","","","","","","",""
"NECAB3","0.356","0.700","0.623","2","hsa-miR-6877-5p","hsa-miR-495-5p","","","","","","",""
"NEDD9","0.366","0.700","0.450","1","hsa-miR-7110-5p","","","","","","","",""
"NEURL1","0.355","0.700","0.433","1","hsa-miR-3652","","","","","","","",""
"NEXMIF","0.355","0.700","0.433","1","hsa-miR-1470","","","","","","","",""
"NIPA2","0.344","0.700","0.416","1","hsa-miR-504-3p","","","","","","","",""
"NKAP","0.292","0.700","0.629","3","hsa-miR-6780a-5p","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"NKD1","0.311","0.700","0.563","2","hsa-miR-1470","hsa-miR-3652","","","","","","",""
"NLRP12","0.366","0.700","0.450","1","hsa-miR-646","","","","","","","",""
"NLRP6","0.308","0.700","0.364","1","hsa-miR-4483","","","","","","","",""
"NLRP9","0.356","0.700","0.623","2","hsa-miR-4769-5p","hsa-miR-1227-3p","","","","","","",""
"NOB1","0.296","0.700","0.346","1","hsa-miR-646","","","","","","","",""
"NOTO","0.296","0.700","0.346","1","hsa-miR-940","","","","","","","",""
"NPC1L1","0.296","0.700","0.346","1","hsa-miR-6780a-5p","","","","","","","",""
"NRIP3","0.356","0.700","0.623","2","hsa-miR-6730-5p","hsa-miR-6780a-5p","","","","","","",""
"NRXN3","0.285","0.700","0.528","2","hsa-miR-940","hsa-miR-1227-3p","","","","","","",""
"NUAK2","0.320","0.700","0.381","1","hsa-miR-4443","","","","","","","",""
"NUDT7","0.305","0.700","0.554","2","hsa-miR-6780a-5p","hsa-miR-940","","","","","","",""
"NUDT8","0.366","0.700","0.450","1","hsa-miR-940","","","","","","","",""
"NUP205","0.362","0.700","0.632","2","hsa-miR-1227-3p","hsa-miR-6805-3p","","","","","","",""
"NUP62","0.343","0.700","0.606","2","hsa-miR-1224-5p","hsa-miR-4483","","","","","","",""
"NUP85","0.355","0.700","0.433","1","hsa-miR-940","","","","","","","",""
"NUS1","0.350","0.700","0.615","2","hsa-miR-31-3p","hsa-miR-504-3p","","","","","","",""
"NYAP2","0.308","0.700","0.364","1","hsa-miR-495-5p","","","","","","","",""
"OCIAD2","0.374","0.700","0.727","3","hsa-miR-1227-3p","hsa-miR-6776-5p","hsa-miR-6780a-5p","","","","","",""
"ORC6","0.305","0.700","0.554","2","hsa-miR-504-3p","hsa-miR-3652","","","","","","",""
"OTUB2","0.320","0.700","0.381","1","hsa-miR-4313","","","","","","","",""
