Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9
RBM48,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-6780a-5p,,,,,,,,
FASN,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-6776-5p,,,,,,,,
CHST1,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-6780a-5p,,,,,,,,
CD28,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-4685-3p,,,,,,,,
ARAP2,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-1185-2-3p,,,,,,,,
ADA2,0.011111111111111072,0.555,0.739,0.796,1,hsa-miR-6780a-5p,,,,,,,,
RPS19,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-940,,,,,,,,
SERTAD3,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-6730-5p,,,,,,,,
SETD1A,0.011111111111111072,0.539,0.735,0.762,1,hsa-miR-5698,,,,,,,,
UST,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-6780a-5p,,,,,,,,
FBXO31,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-4685-3p,,,,,,,,
TNS4,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-6780a-5p,,,,,,,,
UBE2N,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-5698,,,,,,,,
MCM9,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-940,,,,,,,,
MAP4,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-4472,,,,,,,,
CERS1,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-185-3p,,,,,,,,
FAM20B,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-1470,,,,,,,,
LACTB,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-3652,,,,,,,,
GOLGA8A,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-646,,,,,,,,
GSTCD,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-940,,,,,,,,
GRB10,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-504-3p,,,,,,,,
ERN1,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-940,,,,,,,,
AKT3,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-646,,,,,,,,
ZNF639,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-940,,,,,,,,
WWTR1,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-6780a-5p,,,,,,,,
VPS35,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-940,,,,,,,,
UMPS,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-940,,,,,,,,
UBC,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-6730-5p,,,,,,,,
NPFFR1,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-940,,,,,,,,
TWIST1,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-6743-3p,,,,,,,,
TMOD2,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-4443,,,,,,,,
SRGAP1,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-4685-3p,,,,,,,,
KRT8,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-6780a-5p,,,,,,,,
MAP1LC3B,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-6730-5p,,,,,,,,
SENP1,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-1185-2-3p,,,,,,,,
SAMD5,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-4443,,,,,,,,
RGS5,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-1290,,,,,,,,
PPP1CC,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-940,,,,,,,,
MINDY2,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-5100,,,,,,,,
MUC20,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-940,,,,,,,,
POU2F3,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-3652,,,,,,,,
NPM1,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-646,,,,,,,,
NOLC1,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-1224-5p,,,,,,,,
NFASC,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-5698,,,,,,,,
NXN,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-5698,,,,,,,,
ZNF43,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-940,,,,,,,,
ZNF83,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-6730-5p,,,,,,,,
TRIM33,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-4685-3p,,,,,,,,
TRMU,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-6780a-5p,,,,,,,,
PIK3C2B,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-1470,,,,,,,,
UBE4B,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-5698,,,,,,,,
MIGA1,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-516a-5p,,,,,,,,
INHBA,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-31-3p,,,,,,,,
FNDC3A,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-646,,,,,,,,
UBL4A,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-6805-3p,,,,,,,,
EPB41,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-320b,,,,,,,,
CYTH2,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-6780a-5p,,,,,,,,
C1GALT1C1,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-1227-3p,,,,,,,,
BCL2L12,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-646,,,,,,,,
ATAD5,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-646,,,,,,,,
ACSBG1,0.011111111111111072,0.593,0.748,0.883,1,hsa-miR-1290,,,,,,,,
WDR5B,0.011111111111111072,0.514,0.728,0.71,1,hsa-miR-1227-3p,,,,,,,,
BTN3A3,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-646,,,,,,,,
ZNF17,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-6780a-5p,,,,,,,,
ACADL,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-6780a-5p,,,,,,,,
XKR7,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-646,,,,,,,,
TARDBP,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-5698,,,,,,,,
SURF6,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-4685-3p,,,,,,,,
SNAP29,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-6805-3p,,,,,,,,
ARPC2,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-1202,,,,,,,,
BLOC1S5,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-4685-3p,,,,,,,,
SLC2A1,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-3652,,,,,,,,
SLAIN2,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-944,,,,,,,,
SERAC1,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-6780a-5p,,,,,,,,
PRRC2A,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-5698,,,,,,,,
PPM1A,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-646,,,,,,,,
PNMA2,0.011111111111111072,0.586,0.745,0.866,1,hsa-miR-6780a-5p,,,,,,,,
LRRC40,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-6805-3p,,,,,,,,
NCMAP,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-6780a-5p,,,,,,,,
KCNH2,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-5698,,,,,,,,
CTDSP2,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-940,,,,,,,,
PRPS1,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-1227-3p,,,,,,,,
PIGW,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-940,,,,,,,,
ZNF33A,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-17-3p,,,,,,,,
ARL13B,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-944,,,,,,,,
MCM4,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-31-3p,,,,,,,,
ASNA1,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-7110-5p,,,,,,,,
MBOAT2,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-6780a-5p,,,,,,,,
BEST3,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-6780a-5p,,,,,,,,
C2orf15,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-6805-3p,,,,,,,,
KMT2B,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-4440,,,,,,,,
IGSF6,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-6780a-5p,,,,,,,,
CCNE2,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-646,,,,,,,,
GPR27,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-646,,,,,,,,
FAM83H,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-5698,,,,,,,,
ELOVL5,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-646,,,,,,,,
NEURL1B,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-4685-3p,,,,,,,,
DNAJB6,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-944,,,,,,,,
DMRT2,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-646,,,,,,,,
DCAF17,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-646,,,,,,,,
DEPDC1,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-495-5p,,,,,,,,
DDB1,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-941,,,,,,,,
CNOT6,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-6776-5p,,,,,,,,
ASXL2,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-6780a-5p,,,,,,,,
DEFB105A,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-4443,,,,,,,,
DEFB105B,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-4443,,,,,,,,
DPP8,0.011111111111111072,0.531,0.732,0.745,1,hsa-miR-1202,,,,,,,,
ARL5A,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-17-3p,,,,,,,,
ANKRD42,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-940,,,,,,,,
ABHD17B,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-940,,,,,,,,
ZSCAN16,0.011111111111111072,0.563,0.739,0.814,1,hsa-miR-646,,,,,,,,
ZC3H11A,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-6805-3p,,,,,,,,
UBB,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-495-5p,,,,,,,,
PRX,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-5698,,,,,,,,
SCARF1,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-940,,,,,,,,
HES6,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-6780a-5p,,,,,,,,
LETMD1,0.011111111111111072,0.547,0.737,0.779,1,hsa-miR-940,,,,,,,,
PCTP,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-1185-2-3p,,,,,,,,
PIGS,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-941,,,,,,,,
GON7,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-1227-3p,,,,,,,,
GATM,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-944,,,,,,,,
PRR12,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-6076,,,,,,,,
FUT1,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-4769-5p,,,,,,,,
FAM168A,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-940,,,,,,,,
FAM120AOS,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-504-3p,,,,,,,,
QTRT2,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-940,,,,,,,,
CIAPIN1,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-6780a-5p,,,,,,,,
CHD9,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-944,,,,,,,,
CCDC30,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-516a-5p,,,,,,,,
SLC25A46,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-495-5p,,,,,,,,
SLITRK4,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-5100,,,,,,,,
CAPN1,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-17-3p,,,,,,,,
BLOC1S3,0.011111111111111072,0.578,0.741,0.848,1,hsa-miR-940,,,,,,,,
ZCCHC24,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-6780a-5p,,,,,,,,
VPS4A,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-1290,,,,,,,,
TMEM214,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-4443,,,,,,,,
STX3,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-6780a-5p,,,,,,,,
SOX11,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-940,,,,,,,,
SMS,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-6780a-5p,,,,,,,,
SMARCE1,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-17-3p,,,,,,,,
SLC30A5,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-31-3p,,,,,,,,
SREK1,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-646,,,,,,,,
SCIN,0.011111111111111072,0.571,0.739,0.831,1,hsa-miR-5572,,,,,,,,
TNRC18P2,0.011111111111111072,0.523,0.731,0.727,1,hsa-miR-7110-5p,,,,,,,,
CDC27,0.011111111111111072,0.614,0.752,0.935,1,hsa-miR-944,,,,,,,,
STX16,0.011111111111111072,0.73,0.799,1.28,1,hsa-miR-17-3p,,,,,,,,
CIAO1,0.011111111111111072,0.614,0.752,0.935,1,hsa-miR-6730-5p,,,,,,,,
YES1,0.011111111111111072,0.783,0.828,1.49,1,hsa-miR-6780a-5p,,,,,,,,
MKI67,0.011111111111111072,0.775,0.825,1.45,1,hsa-miR-3652,,,,,,,,
PCGF3,0.011111111111111072,0.775,0.825,1.45,1,hsa-miR-5698,,,,,,,,
DSEL,0.011111111111111072,0.779,0.827,1.47,1,hsa-miR-6780a-5p,,,,,,,,
ELMSAN1,0.011111111111111072,0.779,0.827,1.47,1,hsa-miR-940,,,,,,,,
INSIG1,0.011111111111111072,0.779,0.827,1.47,1,hsa-miR-6793-5p,,,,,,,,
LYRM7,0.011111111111111072,0.779,0.827,1.47,1,hsa-miR-1227-3p,,,,,,,,
NCS1,0.011111111111111072,0.779,0.827,1.47,1,hsa-miR-6741-5p,,,,,,,,
NT5DC3,0.011111111111111072,0.779,0.827,1.47,1,hsa-miR-1227-3p,,,,,,,,
RTL8A,0.011111111111111072,0.779,0.827,1.47,1,hsa-miR-3652,,,,,,,,
SLC19A3,0.011111111111111072,0.779,0.827,1.47,1,hsa-miR-6780a-5p,,,,,,,,
SPCS3,0.011111111111111072,0.779,0.827,1.47,1,hsa-miR-7110-5p,,,,,,,,
AHCYL2,0.011111111111111072,0.783,0.828,1.49,1,hsa-miR-940,,,,,,,,
E2F2,0.011111111111111072,0.783,0.828,1.49,1,hsa-miR-31-3p,,,,,,,,
HSPA8,0.011111111111111072,0.783,0.828,1.49,1,hsa-miR-646,,,,,,,,
MTPAP,0.011111111111111072,0.783,0.828,1.49,1,hsa-miR-1227-3p,,,,,,,,
POLQ,0.011111111111111072,0.783,0.828,1.49,1,hsa-miR-4769-5p,,,,,,,,
POLR3K,0.011111111111111072,0.783,0.828,1.49,1,hsa-miR-6780a-5p,,,,,,,,
HIF1A,0.011111111111111072,0.775,0.825,1.45,1,hsa-miR-940,,,,,,,,
EMP2,0.011111111111111072,0.775,0.825,1.45,1,hsa-miR-1290,,,,,,,,
CRIPT,0.011111111111111072,0.775,0.825,1.45,1,hsa-miR-6780a-5p,,,,,,,,
GTF2H5,0.011111111111111072,0.771,0.822,1.44,1,hsa-miR-4685-3p,,,,,,,,
SSU72,0.011111111111111072,0.767,0.821,1.42,1,hsa-miR-940,,,,,,,,
ARL8B,0.011111111111111072,0.771,0.822,1.44,1,hsa-miR-6780a-5p,,,,,,,,
CAND1,0.011111111111111072,0.771,0.822,1.44,1,hsa-miR-1185-2-3p,,,,,,,,
CASP16P,0.011111111111111072,0.771,0.822,1.44,1,hsa-miR-940,,,,,,,,
CPT1A,0.011111111111111072,0.771,0.822,1.44,1,hsa-miR-6877-5p,,,,,,,,
FRS2,0.011111111111111072,0.771,0.822,1.44,1,hsa-miR-31-3p,,,,,,,,
G3BP2,0.011111111111111072,0.771,0.822,1.44,1,hsa-miR-4313,,,,,,,,
HOXA10,0.011111111111111072,0.771,0.822,1.44,1,hsa-miR-4685-3p,,,,,,,,
APP,0.011111111111111072,0.775,0.825,1.45,1,hsa-miR-944,,,,,,,,
KPNA2,0.011111111111111072,0.771,0.822,1.44,1,hsa-miR-17-3p,,,,,,,,
LINC00346,0.011111111111111072,0.771,0.822,1.44,1,hsa-miR-6780a-5p,,,,,,,,
NCKIPSD,0.011111111111111072,0.771,0.822,1.44,1,hsa-miR-6780a-5p,,,,,,,,
PLAG1,0.011111111111111072,0.771,0.822,1.44,1,hsa-miR-646,,,,,,,,
RNF187,0.011111111111111072,0.771,0.822,1.44,1,hsa-miR-6780a-5p,,,,,,,,
SURF4,0.011111111111111072,0.771,0.822,1.44,1,hsa-miR-940,,,,,,,,
WBP2,0.011111111111111072,0.771,0.822,1.44,1,hsa-miR-185-3p,,,,,,,,
VCAM1,0.011111111111111072,0.783,0.828,1.49,1,hsa-miR-940,,,,,,,,
ZNF704,0.011111111111111072,0.783,0.828,1.49,1,hsa-miR-646,,,,,,,,
MECP2,0.011111111111111072,0.767,0.821,1.42,1,hsa-miR-4313,,,,,,,,
CD226,0.011111111111111072,0.787,0.832,1.51,1,hsa-miR-1227-3p,,,,,,,,
MRM3,0.011111111111111072,0.798,0.838,1.56,1,hsa-miR-4685-3p,,,,,,,,
QKI,0.011111111111111072,0.798,0.838,1.56,1,hsa-miR-4685-3p,,,,,,,,
SIGLEC9,0.011111111111111072,0.798,0.838,1.56,1,hsa-miR-4443,,,,,,,,
SPRYD4,0.011111111111111072,0.798,0.838,1.56,1,hsa-miR-6776-5p,,,,,,,,
YTHDC1,0.011111111111111072,0.798,0.838,1.56,1,hsa-miR-646,,,,,,,,
ZCCHC3,0.011111111111111072,0.798,0.838,1.56,1,hsa-miR-1224-5p,,,,,,,,
HNRNPF,0.011111111111111072,0.802,0.841,1.58,1,hsa-miR-6076,,,,,,,,
NDUFV3,0.011111111111111072,0.802,0.841,1.58,1,hsa-miR-17-3p,,,,,,,,
PAK2,0.011111111111111072,0.802,0.841,1.58,1,hsa-miR-944,,,,,,,,
POTED,0.011111111111111072,0.802,0.841,1.58,1,hsa-miR-1290,,,,,,,,
SDE2,0.011111111111111072,0.802,0.841,1.58,1,hsa-miR-940,,,,,,,,
ADGRL1,0.011111111111111072,0.805,0.843,1.59,1,hsa-miR-5698,,,,,,,,
ENAH,0.011111111111111072,0.805,0.843,1.59,1,hsa-miR-940,,,,,,,,
FAM129B,0.011111111111111072,0.805,0.843,1.59,1,hsa-miR-4443,,,,,,,,
PLA2G16,0.011111111111111072,0.805,0.843,1.59,1,hsa-miR-3652,,,,,,,,
SETD7,0.011111111111111072,0.805,0.843,1.59,1,hsa-miR-6780a-5p,,,,,,,,
ZFAND4,0.011111111111111072,0.805,0.843,1.59,1,hsa-miR-6780a-5p,,,,,,,,
KCNMB1,0.011111111111111072,0.798,0.838,1.56,1,hsa-miR-6776-5p,,,,,,,,
ARIH1,0.011111111111111072,0.798,0.838,1.56,1,hsa-miR-5698,,,,,,,,
TMTC1,0.011111111111111072,0.794,0.836,1.54,1,hsa-miR-6780a-5p,,,,,,,,
MAVS,0.011111111111111072,0.791,0.833,1.52,1,hsa-miR-3652,,,,,,,,
TMEM33,0.011111111111111072,0.787,0.832,1.51,1,hsa-miR-6780a-5p,,,,,,,,
ZNF585B,0.011111111111111072,0.787,0.832,1.51,1,hsa-miR-940,,,,,,,,
ZNF623,0.011111111111111072,0.787,0.832,1.51,1,hsa-miR-940,,,,,,,,
ACVR2B,0.011111111111111072,0.791,0.833,1.52,1,hsa-miR-944,,,,,,,,
CDH7,0.011111111111111072,0.791,0.833,1.52,1,hsa-miR-6780a-5p,,,,,,,,
FLVCR1,0.011111111111111072,0.791,0.833,1.52,1,hsa-miR-6793-5p,,,,,,,,
MAPK14,0.011111111111111072,0.791,0.833,1.52,1,hsa-miR-4685-3p,,,,,,,,
MLEC,0.011111111111111072,0.791,0.833,1.52,1,hsa-miR-940,,,,,,,,
POFUT2,0.011111111111111072,0.794,0.836,1.54,1,hsa-miR-940,,,,,,,,
PGAM4,0.011111111111111072,0.791,0.833,1.52,1,hsa-miR-6780a-5p,,,,,,,,
SORCS2,0.011111111111111072,0.791,0.833,1.52,1,hsa-miR-5698,,,,,,,,
TMEM59,0.011111111111111072,0.791,0.833,1.52,1,hsa-miR-940,,,,,,,,
UBE2H,0.011111111111111072,0.791,0.833,1.52,1,hsa-miR-17-3p,,,,,,,,
CALM1,0.011111111111111072,0.794,0.836,1.54,1,hsa-miR-495-5p,,,,,,,,
GLG1,0.011111111111111072,0.794,0.836,1.54,1,hsa-miR-940,,,,,,,,
KLHL11,0.011111111111111072,0.794,0.836,1.54,1,hsa-miR-1224-5p,,,,,,,,
PER2,0.011111111111111072,0.767,0.821,1.42,1,hsa-miR-940,,,,,,,,
KCNN3,0.011111111111111072,0.767,0.821,1.42,1,hsa-miR-5100,,,,,,,,
ESYT1,0.011111111111111072,0.73,0.799,1.28,1,hsa-miR-1224-5p,,,,,,,,
FLCN,0.011111111111111072,0.745,0.806,1.33,1,hsa-miR-940,,,,,,,,
RAB11B,0.011111111111111072,0.735,0.801,1.3,1,hsa-miR-6877-5p,,,,,,,,
UBE2V2,0.011111111111111072,0.735,0.801,1.3,1,hsa-miR-6805-3p,,,,,,,,
URM1,0.011111111111111072,0.735,0.801,1.3,1,hsa-miR-1470,,,,,,,,
ZNF844,0.011111111111111072,0.735,0.801,1.3,1,hsa-miR-940,,,,,,,,
ASH1L,0.011111111111111072,0.74,0.804,1.32,1,hsa-miR-646,,,,,,,,
EXOC8,0.011111111111111072,0.74,0.804,1.32,1,hsa-miR-6780a-5p,,,,,,,,
ISY1,0.011111111111111072,0.74,0.804,1.32,1,hsa-miR-6793-5p,,,,,,,,
JARID2,0.011111111111111072,0.74,0.804,1.32,1,hsa-miR-342-5p,,,,,,,,
NRAS,0.011111111111111072,0.74,0.804,1.32,1,hsa-miR-944,,,,,,,,
PHACTR4,0.011111111111111072,0.74,0.804,1.32,1,hsa-miR-6780a-5p,,,,,,,,
SPPL3,0.011111111111111072,0.74,0.804,1.32,1,hsa-miR-516a-5p,,,,,,,,
ZDHHC20,0.011111111111111072,0.74,0.804,1.32,1,hsa-miR-7110-5p,,,,,,,,
ZNF268,0.011111111111111072,0.74,0.804,1.32,1,hsa-miR-6076,,,,,,,,
ZNF329,0.011111111111111072,0.74,0.804,1.32,1,hsa-miR-6780a-5p,,,,,,,,
ZNF551,0.011111111111111072,0.74,0.804,1.32,1,hsa-miR-3652,,,,,,,,
ATM,0.011111111111111072,0.745,0.806,1.33,1,hsa-miR-940,,,,,,,,
CNNM4,0.011111111111111072,0.745,0.806,1.33,1,hsa-miR-4483,,,,,,,,
PPFIBP1,0.011111111111111072,0.735,0.801,1.3,1,hsa-miR-6780a-5p,,,,,,,,
PLSCR1,0.011111111111111072,0.735,0.801,1.3,1,hsa-miR-1224-5p,,,,,,,,
MAPK6,0.011111111111111072,0.735,0.801,1.3,1,hsa-miR-4483,,,,,,,,
SET,0.011111111111111072,0.73,0.799,1.28,1,hsa-miR-1185-2-3p,,,,,,,,
FAM118A,0.011111111111111072,0.73,0.799,1.28,1,hsa-miR-940,,,,,,,,
FBXO47,0.011111111111111072,0.73,0.799,1.28,1,hsa-miR-495-5p,,,,,,,,
LIMA1,0.011111111111111072,0.73,0.799,1.28,1,hsa-miR-6805-3p,,,,,,,,
MYO10,0.011111111111111072,0.73,0.799,1.28,1,hsa-miR-6805-3p,,,,,,,,
NUP50,0.011111111111111072,0.73,0.799,1.28,1,hsa-miR-646,,,,,,,,
RAC1,0.011111111111111072,0.73,0.799,1.28,1,hsa-miR-5572,,,,,,,,
RGS6,0.011111111111111072,0.73,0.799,1.28,1,hsa-miR-185-3p,,,,,,,,
SRCIN1,0.011111111111111072,0.73,0.799,1.28,1,hsa-miR-1290,,,,,,,,
EFCAB11,0.011111111111111072,0.735,0.801,1.3,1,hsa-miR-495-5p,,,,,,,,
EPG5,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-6780a-5p,,,,,,,,
WT1,0.011111111111111072,0.73,0.799,1.28,1,hsa-miR-940,,,,,,,,
ZDHHC24,0.011111111111111072,0.73,0.799,1.28,1,hsa-miR-1227-3p,,,,,,,,
C11orf57,0.011111111111111072,0.735,0.801,1.3,1,hsa-miR-5698,,,,,,,,
CD2AP,0.011111111111111072,0.735,0.801,1.3,1,hsa-miR-646,,,,,,,,
CSTF1,0.011111111111111072,0.735,0.801,1.3,1,hsa-miR-6780a-5p,,,,,,,,
DICER1,0.011111111111111072,0.735,0.801,1.3,1,hsa-miR-31-3p,,,,,,,,
ERCC1,0.011111111111111072,0.745,0.806,1.33,1,hsa-miR-5572,,,,,,,,
LMBR1L,0.011111111111111072,0.745,0.806,1.33,1,hsa-miR-4489,,,,,,,,
HNRNPA1L2,0.011111111111111072,0.767,0.821,1.42,1,hsa-miR-646,,,,,,,,
LMNB1,0.011111111111111072,0.745,0.806,1.33,1,hsa-miR-1224-5p,,,,,,,,
DLC1,0.011111111111111072,0.758,0.815,1.39,1,hsa-miR-646,,,,,,,,
EEF2,0.011111111111111072,0.758,0.815,1.39,1,hsa-miR-6741-5p,,,,,,,,
ELP2,0.011111111111111072,0.758,0.815,1.39,1,hsa-miR-1224-5p,,,,,,,,
IRF2BP2,0.011111111111111072,0.758,0.815,1.39,1,hsa-miR-1185-2-3p,,,,,,,,
RPP14,0.011111111111111072,0.758,0.815,1.39,1,hsa-miR-940,,,,,,,,
SP2,0.011111111111111072,0.758,0.815,1.39,1,hsa-miR-6877-5p,,,,,,,,
TRAF7,0.011111111111111072,0.758,0.815,1.39,1,hsa-miR-185-3p,,,,,,,,
TXNL1,0.011111111111111072,0.758,0.815,1.39,1,hsa-miR-4456,,,,,,,,
E2F6,0.011111111111111072,0.762,0.818,1.4,1,hsa-miR-4769-5p,,,,,,,,
FXR1,0.011111111111111072,0.762,0.818,1.4,1,hsa-miR-944,,,,,,,,
HACE1,0.011111111111111072,0.762,0.818,1.4,1,hsa-miR-5698,,,,,,,,
MOB3A,0.011111111111111072,0.762,0.818,1.4,1,hsa-miR-940,,,,,,,,
MRRF,0.011111111111111072,0.762,0.818,1.4,1,hsa-miR-4483,,,,,,,,
OLR1,0.011111111111111072,0.762,0.818,1.4,1,hsa-miR-646,,,,,,,,
SCML2,0.011111111111111072,0.762,0.818,1.4,1,hsa-miR-1224-5p,,,,,,,,
TRIB1,0.011111111111111072,0.762,0.818,1.4,1,hsa-miR-6780a-5p,,,,,,,,
TWF1,0.011111111111111072,0.762,0.818,1.4,1,hsa-miR-6730-5p,,,,,,,,
