Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9
STARD3NL,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-6076,,,,,,,,
STAU1,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-1290,,,,,,,,
SYTL3,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-6780a-5p,,,,,,,,
TACC2,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-4685-3p,,,,,,,,
SLC25A15,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-1227-3p,,,,,,,,
SLC23A1,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-1224-5p,,,,,,,,
SLC1A1,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-4685-3p,,,,,,,,
RTCB,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-6776-5p,,,,,,,,
RFWD3,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-1290,,,,,,,,
RHOH,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-1227-3p,,,,,,,,
RND2,0.011111111111111072,0.399,0.704,0.502,1,hsa-miR-6805-3p,,,,,,,,
RNF121,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-4483,,,,,,,,
RPP30,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-6780a-5p,,,,,,,,
RPRM,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-5698,,,,,,,,
RTN3,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-4443,,,,,,,,
SHROOM3,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-646,,,,,,,,
RTN4,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-646,,,,,,,,
RUNDC3B,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-4685-3p,,,,,,,,
SDK1,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-6877-5p,,,,,,,,
SEMA3F,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-185-3p,,,,,,,,
SH2D5,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-1470,,,,,,,,
SHOX,0.011111111111111072,0.399,0.704,0.502,1,hsa-miR-940,,,,,,,,
DSCR3,0.011111111111111072,0.46,0.713,0.606,1,hsa-miR-940,,,,,,,,
FAM222B,0.011111111111111072,0.46,0.713,0.606,1,hsa-miR-6730-5p,,,,,,,,
NDST3,0.011111111111111072,0.308,0.7,0.364,1,hsa-miR-941,,,,,,,,
TFAP2B,0.011111111111111072,0.488,0.719,0.658,1,hsa-miR-5698,,,,,,,,
MEIS3P1,0.011111111111111072,0.488,0.719,0.658,1,hsa-miR-6793-5p,,,,,,,,
MMP17,0.011111111111111072,0.488,0.719,0.658,1,hsa-miR-3652,,,,,,,,
MYORG,0.011111111111111072,0.488,0.719,0.658,1,hsa-miR-5698,,,,,,,,
NECTIN1,0.011111111111111072,0.488,0.719,0.658,1,hsa-miR-185-3p,,,,,,,,
NUP210,0.011111111111111072,0.488,0.719,0.658,1,hsa-miR-940,,,,,,,,
PDE4A,0.011111111111111072,0.488,0.719,0.658,1,hsa-miR-4313,,,,,,,,
